source,target,weight
638,5681,1
638,11474,1
638,11478,1
638,5752,1
638,11484,1
638,11488,1
638,2200,1
638,11495,1
638,11496,1
638,11497,1
638,11498,1
638,11504,1
638,11505,1
638,11513,1
638,11514,1
638,3164,1
638,774,1
638,11524,1
638,11530,1
638,11407,1
638,6895,1
638,11536,1
638,11544,1
638,11557,1
638,11559,1
638,11560,1
638,11565,1
638,11566,1
638,5730,1
638,4828,1
638,10364,1
638,11581,1
638,11583,1
638,11589,1
638,11590,1
638,11598,1
638,11600,1
638,11604,1
638,9665,1
638,11610,1
638,11623,1
638,1755,1
638,11633,1
638,11646,1
638,11650,1
638,11662,1
638,11663,1
638,11665,1
638,11666,1
638,11683,1
638,5121,1
638,4741,1
638,3545,1
638,11727,1
638,11733,1
638,11739,1
638,11747,1
638,9517,1
638,11773,1
638,11775,1
638,11784,1
638,5266,1
638,11826,1
638,2532,1
638,11857,1
638,11879,1
638,11907,1
638,11977,1
638,12059,1
638,8454,1
638,4941,1
638,12160,1
638,12163,1
638,12249,1
638,12482,1
638,11629,1
638,2041,1
638,7230,1
638,2294,1
638,12500,1
638,12501,1
638,3794,1
638,12509,1
638,12510,1
638,2359,1
638,12515,1
638,7876,1
638,6985,1
638,4106,1
638,9979,1
638,12359,1
638,12521,1
638,12523,1
6046,6267,1
6638,6637,1
6095,6094,1
6095,6097,1
6095,6120,1
6095,10531,1
6095,10541,1
6095,10589,1
2087,3728,1
2087,2225,1
2087,8758,1
2087,6869,1
1998,1997,1
1998,2001,1
1998,2004,1
1998,2006,1
1998,2008,1
1998,2009,1
1998,2013,1
1998,2016,1
1998,2017,1
1998,2024,1
1998,3703,1
1998,3704,1
1998,3708,1
1998,3710,1
1998,3712,1
1998,3714,1
1998,3716,1
1998,3718,1
1998,3522,1
1998,3725,1
1998,3729,1
1998,3735,1
1998,3736,1
1998,3739,1
1998,3742,1
1998,3744,1
1998,3751,1
1998,3752,1
1998,3762,1
1998,3765,1
1998,3794,1
1998,3796,1
1998,3798,1
1998,3800,1
1998,3801,1
1998,3813,1
1998,3818,1
1998,3824,1
1998,3831,1
1998,2957,1
1998,3835,1
1998,3838,1
1998,3846,1
1998,2955,1
1998,3857,1
1998,3858,1
1998,3868,1
1998,3869,1
1998,4231,1
1998,4232,1
1998,2151,1
1998,4235,1
1998,4063,1
1998,4240,1
1998,4241,1
1998,4245,1
1998,4260,1
1998,4264,1
1998,4278,1
1998,4279,1
1998,4284,1
1998,4286,1
1998,3896,1
1998,4289,1
1998,4290,1
1998,4310,1
1998,4327,1
1998,4330,1
1998,4336,1
1998,4337,1
1998,4344,1
1998,4365,1
1998,4386,1
5681,5682,1
5681,5683,1
5681,5684,1
5681,5685,1
5681,5686,1
5681,5687,1
5681,5688,1
5681,5689,1
5681,5692,1
5681,5693,1
5681,5694,1
5681,5700,1
5681,5703,1
5681,5705,1
5681,5706,1
5681,5710,1
5681,5722,1
5681,5726,1
5681,5731,1
5681,5732,1
5681,5735,1
5681,5750,1
5681,5751,1
5681,5756,1
5681,5758,1
5681,5760,1
5681,5766,1
5681,5768,1
5681,5770,1
5681,5775,1
5681,5777,1
5681,5781,1
5681,5795,1
5681,5771,1
5681,5804,1
5681,5808,1
5681,5811,1
5681,5813,1
5681,5814,1
5681,5815,1
5681,5829,1
5681,5831,1
5681,5839,1
5681,5841,1
5681,5843,1
5681,5844,1
5681,5846,1
5681,5854,1
5681,5861,1
5681,5869,1
5681,5874,1
5681,5885,1
5681,5888,1
5681,5891,1
5681,5900,1
5681,5906,1
5681,5908,1
5681,5916,1
5681,5924,1
5681,5933,1
5681,5936,1
5681,5939,1
5681,5941,1
5681,5943,1
5681,5945,1
5681,5948,1
5681,5949,1
5681,5950,1
5681,10792,1
5681,5903,1
5681,10284,1
5681,10793,1
5681,10795,1
5681,10796,1
5681,10797,1
5681,10798,1
5681,10799,1
5681,10801,1
5681,6326,1
5681,10803,1
5681,10804,1
5681,10805,1
5681,8764,1
5681,10811,1
5681,10814,1
5681,10815,1
5681,10816,1
5681,10817,1
5681,10820,1
5681,10825,1
5681,10826,1
5681,10829,1
5681,10849,1
5681,10850,1
5681,10851,1
5681,10869,1
5681,10874,1
5681,5720,1
5681,10877,1
5681,10881,1
5681,10883,1
5681,9322,1
5681,10886,1
5681,10888,1
5681,10891,1
5681,10892,1
5681,10896,1
5681,10902,1
5681,10903,1
5681,6963,1
5681,8360,1
5681,10908,1
5681,10913,1
5681,10917,1
5681,7771,1
5681,6839,1
5681,10930,1
5681,10932,1
5681,10940,1
5681,10946,1
5681,10947,1
5681,10949,1
5681,10960,1
5681,10963,1
5681,10967,1
5681,10973,1
5681,10976,1
5681,10977,1
5681,10979,1
5681,6973,1
5681,7532,1
5681,10981,1
5681,10982,1
5681,10983,1
5681,10986,1
5681,10989,1
5681,6894,1
5681,10993,1
5681,10845,1
5681,10933,1
5681,11000,1
5681,11003,1
5681,10809,1
5681,11010,1
5681,11015,1
5681,6316,1
5681,11019,1
5681,11023,1
5681,11027,1
5681,11030,1
5681,6323,1
5681,11032,1
5681,6338,1
5681,11033,1
5681,11036,1
5681,10996,1
5681,6863,1
5681,11049,1
5681,11050,1
5681,11053,1
5681,7967,1
5681,11054,1
5681,5809,1
5681,11061,1
5681,11063,1
5681,11072,1
5681,10848,1
5681,11077,1
5681,11084,1
5681,11087,1
5681,11089,1
5681,8931,1
5681,11094,1
5681,11096,1
5681,11097,1
5681,11102,1
5681,6335,1
5681,11105,1
5681,11108,1
5681,11112,1
5681,11114,1
5681,11117,1
5681,11122,1
5681,11124,1
