source,target,weight
6875920,6634146,1
6875920,6064990,1
6875920,6634192,1
6875920,6064997,1
6875920,4015424,1
6875920,1532152,1
6875920,1382895,1
6875920,4376140,1
6875987,6634146,1
6875987,6065027,1
6875987,6634127,1
6875987,6065022,1
6875987,4376135,1
6875987,4658126,1
6875987,1382904,1
6875987,6327268,1
6875987,4376137,1
6875987,4677350,1
6875987,4658146,1
6875987,6634111,1
6875983,5290710,1
6875983,4658140,1
6875983,4015425,1
6875983,4015433,1
6875983,6065021,1
6875983,1532150,1
6875983,6065019,1
6875983,1532819,1
6876003,1532145,1
6876012,885091,1
6876012,1532145,1
6876012,4376129,1
6876012,5290702,1
6876012,4376152,1
6876012,175815,1
6876012,4658149,1
6875961,6065011,1
6875961,885091,1
6875961,1173151,1
6875988,4015417,1
6875988,6875946,1
6875988,6875973,1
6876042,1382904,1
6876042,5613453,1
6876042,5290705,1
6876042,5290720,1
6876042,1532788,1
6876042,6064996,1
6876042,4376131,1
6876042,1382905,1
6876042,5613455,1
6876042,6634113,1
6876042,636792,1
6876042,6064997,1
6876042,6064975,1
6876042,6327284,1
6876042,636761,1
6875946,5290712,1
6875946,6064996,1
6875946,6634152,1
6875946,4376131,1
6875946,1382905,1
6875946,6065018,1
6875946,663890,1
6875946,6327284,1
6875946,6634126,1
6875946,5613431,1
6875946,4376134,1
6875946,6327259,1
6876039,885086,1
6876039,5290713,1
6876039,5613431,1
6876039,6065018,1
6876039,6634113,1
6876039,6327284,1
6876039,4389013,1
6876039,6634155,1
6876039,4376140,1
6876039,4658129,1
6876039,1532136,1
6876039,4376133,1
6876039,6327275,1
6876022,5613437,1
6875927,6327248,1
6875927,4376131,1
6875915,6327283,1
6875915,6327259,1
6875915,6327281,1
6875915,6064986,1
6875915,6327255,1
6876021,6327278,1
6876043,528680,1
6876043,5613437,1
6876043,4658193,1
6876043,6327298,1
6876043,5290748,1
6876043,5613487,1
6876043,6327293,1
6876043,6327248,1
6876043,5613488,1
6876043,1532136,1
6876043,398859,1
6876043,5333431,1
6876043,4376186,1
6876043,6634132,1
6876043,5652392,1
6876043,1532142,1
6876043,6634181,1
6876043,6634138,1
6876043,6634168,1
6876043,6327226,1
6876043,5290695,1
6876043,6064985,1
6876043,6634124,1
6876043,6634169,1
6876043,6102450,1
6876043,1532788,1
6876043,6634108,1
6876043,6064952,1
6876043,5613489,1
6876043,5290759,1
6876043,6102457,1
6876043,6634156,1
6876043,6065007,1
6875966,6327285,1
6875966,6327281,1
6875966,6327248,1
6875966,6064986,1
6875966,6634126,1
6875966,5613452,1
6875966,6634110,1
6875966,1382903,1
6875966,6065017,1
6875966,6634166,1
6875966,4658128,1
6875930,6634146,1
6875930,801860,1
6875930,5613460,1
6875930,5613502,1
6875930,568118,1
6875930,6634168,1
6875930,5290761,1
6875930,5290695,1
6875930,4376133,1
6875930,6634182,1
6875930,1249005,1
6875930,1382903,1
6875930,567784,1
6875930,6634108,1
6875930,4658127,1
6875930,6327249,1
6875930,5613434,1
6876000,6327248,1
6876000,6065017,1
6876000,5290695,1
6876000,6634108,1
6876000,6634166,1
6888482,4376134,1
6888482,1249031,1
6888482,6634126,1
6876023,6327259,1
6876023,6327280,1
6876023,6327282,1
6876023,6065015,1
6876023,6634103,1
6875968,1382886,1
6875968,6065011,1
6875968,6065001,1
6876036,1249011,1
6876036,6064991,1
6876036,4658147,1
6876036,528686,1
6876036,4376149,1
6876036,5290706,1
6876036,6634178,1
6876036,6634168,1
6876010,6327259,1
6876010,801854,1
6876010,1173148,1
6876010,4658123,1
6876010,4376146,1
6875973,6327283,1
6875973,4658168,1
6875973,6064957,1
6875973,1382895,1
6875940,6634178,1
6875940,6327269,1
6875940,1382903,1
6875940,6327282,1
6875940,1532136,1
6875940,6065014,1
6875940,5613441,1
6875940,6634103,1
6875900,5290709,1
6875900,1382900,1
6875900,6327293,1
6875900,6327248,1
6875900,6327294,1
6875900,5290725,1
6875900,6634160,1
6875900,6634128,1
6875900,5290715,1
6875900,6634168,1
6875900,6065008,1
6875900,5652940,1
6875900,6065017,1
6875938,6634164,1
6875938,5290699,1
6875938,7042494,1
6875938,5290695,1
6875938,6065008,1
6875938,6876032,1
6875938,6327274,1
6875938,6634134,1
6875938,6327272,1
6875938,6634160,1
6875938,6634100,1
6875917,6634087,1
